Model,R²,R² (%),RMSE (kW),MAE (kW)
Neural Network (Optuna),0.983618122754771,98.3618122754771,3.1653525984855597,1.7204247280397276
LR: Date+POA,0.814511625251696,81.4511625251696,10.651201696586751,5.470163820287579
LR: POA Only,0.8109702573735816,81.09702573735817,10.75239802247311,5.412483243099187
LR: Date Only,0.017259720041455484,1.7259720041455484,24.51656601218386,21.25924936276204
