Factor,F-statistic,p-value,Significant
Hour of Day,3214.5681232792763,0.0,True
Month,24.904210451521017,1.9524915006223166e-51,True
Day of Week,0.06630395650973346,0.9988685749183887,False
POA Irradiance Bin,5199.016078013523,0.0,True
